"","diff","lwr","upr","p adj"
"CCND1-ASXL1",-0.0719822812846244,-0.0878907051412888,-0.05607385742796,0
"CDKN2A-ASXL1",-0.103359173126584,-0.119267596983248,-0.0874507492699195,0
"FLT3-ASXL1",0.0114433370247308,-0.00446508683193354,0.0273517608813952,0.25086305749205
"CDKN2A-CCND1",-0.0313768918419595,-0.0472853156986239,-0.0154684679852951,2.28699850235436e-06
"FLT3-CCND1",0.0834256183093552,0.0675171944526909,0.0993340421660196,0
"FLT3-CDKN2A",0.114802510151315,0.0988940862946504,0.130710934007979,0
