"","diff","lwr","upr","p adj"
"CCND1-ASXL1",0.0786054290490812,0.0699174862237299,0.0872933718744324,0
"CDKN2A-ASXL1",-0.149148762811508,-0.15783670563686,-0.140460819986157,0
"FLT3-ASXL1",-4.28834855699181e-05,-0.00873082631092118,0.00864505933978135,0.999999267670047
"CDKN2A-CCND1",-0.22775419186059,-0.236442134685941,-0.219066249035238,0
"FLT3-CCND1",-0.0786483125346511,-0.0873362553600024,-0.0699603697092998,0
"FLT3-CDKN2A",0.149105879325938,0.140417936500587,0.15779382215129,0
